dataset,anomaly_segment,anomaly_type
omi-1,760-765,metric
omi-1,1064-1298,metric-temporal
omi-1,2758-2772,metric
omi-1,2874-2885,temporal
omi-1,3012-3025,metric-temporal
omi-1,3160-3305,metric-temporal
omi-1,3626-3638,metric-temporal
omi-2,486-498,metric-temporal
omi-2,740-753,temporal
omi-2,766-783,temporal
omi-2,1436-1445,temporal
omi-3,760-820,metric-temporal
omi-3,842-860,metric-temporal
omi-3,1080-1120,temporal
omi-3,2188-2201,temporal
omi-3,2497-2500,temporal
omi-3,3428-3434,temporal
omi-4,727-782,metric-temporal
omi-4,843-857,metric-temporal
omi-4,2178-2238,metric-temporal
omi-4,2494-2501,temporal
omi-4,3425-3435,temporal
omi-5,765-781,temporal
omi-5,1589-1617,metric-temporal
omi-5,2440-2446,metric
omi-5,3356-3363,metric-temporal
omi-5,3416-3423,temporal
omi-5,3590-3594,metric-temporal
omi-6,357-392,metric
omi-6,750-788,metric-temporal
omi-6,1278-1293,metric
omi-6,1590-1615,metric-temporal
omi-6,2592-2604,metric
omi-6,2734-2765,metric-temporal
omi-6,3066-3072,metric-temporal
omi-6,3596-3605,metric-temporal
omi-6,3610-3622,temporal
omi-6,4159-4164,temporal
omi-7,738-778,temporal
omi-7,1625-1660,temporal
omi-7,3311-3320,temporal
omi-8,740-753,temporal
omi-8,764-780,metric-temporal
omi-8,2319-2325,temporal
omi-8,2586-2675,metric-temporal
omi-8,2897-2956,metric-temporal
omi-9,738-756,metric-temporal
omi-9,763-780,metric-temporal
omi-9,2514-2524,temporal
omi-9,2603-2668,metric-temporal
omi-9,2918-2958,metric-temporal
omi-9,3170-3245,metric-temporal
omi-9,3508-3528,metric
omi-9,4064-4108,metric-temporal
omi-10,740-780,metric-temporal
omi-10,1345-1406,temporal
omi-10,2224-2272,metric-temporal
omi-10,2514-2592,metric
omi-10,2733-2778,metric
omi-10,3401-3405,temporal
omi-10,3414-3459,temporal
omi-10,3700-3744,metric-temporal
omi-11,738-755,temporal
omi-11,757-781,metric-temporal
omi-11,782-815,temporal
omi-11,1366-1375,temporal
omi-11,2301-2314,metric
omi-11,2365-2381,metric-temporal
omi-11,2464-2485,metric-temporal
omi-11,2588-2610,metric-temporal
omi-11,2650-2675,metric
omi-11,3012-3072,temporal
omi-12,740-813,temporal
omi-12,2486-2493,temporal
omi-12,2515-2525,metric-temporal
omi-12,2721-2723,temporal
omi-12,3500-3535,metric
